Ticker,Main listing,Name,Corporate form,"Registered
office",Industry,Founded
ADS.DE,FWB: ADS,Adidas,  Aktiengesellschaft, Germany,Sportwear,1924
ADYEN.AS,Euronext: ADYEN,Adyen,  Naamloze vennootschap, Netherlands,Software—Infrastructure,2006
AD.AS,Euronext: AD,Ahold Delhaize,  Naamloze vennootschap, Netherlands,Retail,2016 (1867)
AI.PA,Euronext Paris: AI,Air Liquide,  Société Anonyme, France,Chemistry,1902
AIR.PA,Euronext: AIR,Airbus,  Societas Europaea, France,Aerospace,1970
ALV.DE,FWB: ALV,Allianz,  Societas Europaea, Germany,Insurance,1890
ABI.BR,Euronext: ABI,Anheuser-Busch InBev,"  Société Anonyme/
Naamloze vennootschap", Belgium,Food and beverage,2008 (1366/1888/1852/1895)
ASML.AS,Euronext: ASML,ASML Holding,  Naamloze vennootschap, Netherlands,Technology,1984
CS.PA,Euronext: CS,AXA,  Société Anonyme, France,Insurance,1816
BAS.DE,FWB: BAS,BASF,  Societas Europaea, Germany,Chemistry,1865
BAYN.DE,FWB: BAYN,Bayer,  Aktiengesellschaft, Germany,Chemistry,1863
BBVA.MC,BMAD: BBVA,BBVA,  Sociedad Anónima, Spain,Banking,1857
SAN.MC,BMAD: SAN,Banco Santander,  Sociedad Anónima, Spain,Banking,1857
BMW.DE,FWB: BMW,BMW,  Aktiengesellschaft, Germany,Automotive industry,1916
BNP.PA,Euronext Paris: BNP,BNP Paribas,  Société Anonyme, France,Banking,2002 (1848/1872)
CRG.IR,Euronext Dublin: CRG,CRH,  Public Limited Company, Ireland,Construction and materials,1970 (1936)
BN.PA,Euronext: BN,Danone,  Société Anonyme, France,Food and beverage,1919
DB1.DE,FWB: DB1,Deutsche Börse,  Aktiengesellschaft, Germany,Finance,1992
DPW.DE,FWB: DPW,Deutsche Post,  Aktiengesellschaft, Germany,Logistics,1995
DTE.DE,FWB: DTE,Deutsche Telekom,  Aktiengesellschaft, Germany,Telecommunication,1995
ENEL.MI,BIT: ENEL,Enel,  Società per azioni, Italy,Electric utility,1962
ENI.MI,BIT: ENI,Eni,  Società per azioni, Italy,Petroleum,1953
EL.PA,Euronext: EI,EssilorLuxottica,  Société anonyme, France,Optical industry,1849
FLTR.IR,Euronext: FLTR,Flutter Entertainment,  Public Limited Company, Ireland,Bookmaking,2016
RMS.PA,Euronext: RMS,Hermès,  Société Anonyme, France,Luxury,1837
IBE.MC,BMAD: IBE,Iberdrola,  Sociedad Anónima, Spain,Electric utility,1992 (1907/1944)
ITX.MC,BMAD: ITX,Inditex,  Sociedad Anónima, Spain,Clothing,1985
IFX.DE,FWB: IFX,Infineon Technologies,  Aktiengesellschaft, Germany,Semiconductors,1999
INGA.AS,Euronext: INGA,ING Group,  Naamloze vennootschap, Netherlands,Banking,1991
ISP.MI,BIT: ISP,Intesa Sanpaolo,  Società per azioni, Italy,Banking,2007 (1563)
KER.PA,Euronext: KER,Kering,  Société Anonyme, France,Luxury,1963
KNEBV.HE,Nasdaq Helsinki: KNEBV,Kone,  Julkinen osakeyhtiö, Finland,Engineering and service,1910
OR.PA,Euronext: OR,L'Oréal,  Société Anonyme, France,Personal and household goods,1909
LIN.DE,FWB: LIN,Linde plc,  Public limited company, Ireland,Chemistry,1879
MC.PA,Euronext: MC,LVMH Moët Hennessy Louis Vuitton,  Societas Europaea, France,Personal and household goods,1987 (1743 / 1765 / 1854)
MBG.DE,FWB: MBG,Mercedes-Benz Group,  Aktiengesellschaft, Germany,Automotive industry,2007 (1926)
MUV2.DE,FWB: MUV2,Munich Re,  Aktiengesellschaft, Germany,Insurance,1880
RI.PA,Euronext: RI,Pernod Ricard,  Société Anonyme, France,Alcohol,1975
PHIA.AS,Euronext: PHIA,Philips,  Naamloze vennootschap, Netherlands,Health care equipment,1891
PRX.AS,Euronext: PRX,Prosus,  Naamloze vennootschap, Netherlands,Consumer Internet,2019
SAF.PA,Euronext: SAF,Safran,  Société Anonyme, France,Aerospace,2005
SAN.PA,Euronext: SAN,Sanofi,  Société Anonyme, France,Pharmaceutical industry,2004 (1834/1899/1973)
SAP.DE,FWB: SAP,SAP,  Societas Europaea, Germany,Technology,1972
SU.PA,Euronext: SU,Schneider Electric,  Societas Europaea, France,Goods and Services,1836
SIE.DE,FWB: SIE,Siemens,  Aktiengesellschaft, Germany,Goods and Services,1847
STLA.MI,BIT: STLA,Stellantis,  Naamloze vennootschap, Netherlands,Automotive industry,2021
TTE.PA,Euronext: TTE,TotalEnergies,  Societas Europaea, France,Petroleum,1924
DG.PA,Euronext: DG,Vinci SA,  Société Anonyme, France,Construction and materials,1899
VOW.DE,FWB: VOW,Volkswagen Group,  Aktiengesellschaft, Germany,Automotive industry,1937
VNA.DE,FWB: VNA,Vonovia,  Societas Europaea, Germany,Real estate,2001
